Schoolid,School_Name,medium,Latitude,Longitude,shift,low_class,High_class,Z_ID,Zone_Name,D_ID,District_name,SchManagement,SchCategory,typeOfSchool
1001004,Kanti Nagar-SBV,English,28.66670886,77.28069572,Evening,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,Boys
1001008,"SBV No.1, Bhola Nath Nagar-1001008",English,28.66642936,77.28887846,Evening,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,Boys
1001002,Vivek Vihar-SBV,English,28.6684278,77.31796661,Evening,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,Girls
1001009,Anand Vihar-SKV,English,28.65258927,77.3162682,Morning,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1001006,Surajmal Vihar–SBV,English,28.65745551,77.30550888,Evening,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1001012,Vivek Vihar-GBSS,English,28.66881733,77.30541861,General,6,10,1001,Zone-01,10,East,Government,Secondary Schools,Co-ed
1001018,"Bhola Nath Nagar, No.1-SKV",English,28.66611499,77.28883904,Morning,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,Girls
1001022,Vivek Vihar- SKV,English,28.668821,77.318204,Morning,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1001023,"Bhola Nath Nagar, No.3-GGSSS",English,28.6674998,77.29048903,Morning,6,12,1001,Zone-01,10,East,Government,Senior Secondary Schools,Co-ed
1001001,Bhola Nath Nagar-SBV (Babu Ram),English,28.66730577,77.28982717,General,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1001024,Kanti Nagar-GGSSS,English,28.66638532,77.28052512,Morning,6,12,1001,Zone-01,10,East,Government,Senior Secondary Schools,Boys
1001026,"Vivek Vihar,Phase-II-GGSSS",English,28.67013518,77.30921967,General,6,12,1001,Zone-01,10,East,Government,Senior Secondary Schools,Girls
1001102,Surajmal Vihar-SKV,English,28.65720002,77.30599078,Morning,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1001104,Surajmal Vihar-RPVV,English,28.66587096,77.30790799,General,6,12,1001,Zone-01,10,East,Government,Partibha Vikas Vidhyalya,Girls
1001105,Jhilmil Colony-SBV,English,28.67053939,77.30917356,Evening,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,Girls
1001106,Kiran Vihar-SKV,English,28.65287457,77.30119582,Morning,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1001109,Kiran Vihar-SBV,English,28.65267268,77.30159036,Evening,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1001110,Rajgarh Colony-SBV,English,28.65961189,77.27267488,General,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1001111,Jhilmil Colony-GGSSS,English,28.67039865,77.30935829,Morning,6,12,1001,Zone-01,10,East,Government,Senior Secondary Schools,Co-ed
1001144,"Shahadara, Gali Jain Mandir-Jain Sec. School",English,28.67184108,77.28831277,Morning,6,10,1001,Zone-01,10,East,Aided,Secondary Schools,Girls
1001145,Sanatan Dharam Sr. Sec. School shahdara,English,28.66802135,77.28984343,Morning,Nursery,12,1001,Zone-01,10,East,Aided,Sarvodaya Sr. Secondary Schools,Co-ed
1001146,"Shahadara, Anaj Mandi-Lalita PD Arya Girls Sr. Sec. School",English,28.66951817,77.2913632,Morning,6,12,1001,Zone-01,10,East,Aided,Senior Secondary Schools,Boys
1001147,Shankar Nagar-Dav No. 2 Sr. Sec. School,English,28.66401024,77.27287124,Morning,6,12,1001,Zone-01,10,East,Aided,Senior Secondary Schools,Co-ed
1001148,Old Seelampur East-Nehru Adarh Sr. Sec. School,English,28.66943287,77.27719359,Morning,6,12,1001,Zone-01,10,East,Aided,Senior Secondary Schools,Girls
1001149,Shankar Nagar-R. A. Geeta Sr. Sec. School,English,28.66348962,77.27284343,Morning,6,12,1001,Zone-01,10,East,Aided,Senior Secondary Schools,Co-ed
1001150,Krishan Nagar-Ratan Devi Girls Sr. Sec. School,English,28.66159023,77.27955747,Morning,6,12,1001,Zone-01,10,East,Aided,Senior Secondary Schools,Co-ed
1001151,"Shahdara, Teliwara-G(Co-ed)SS",English,28.67104097,77.2885332,General,6,10,1001,Zone-01,10,East,Government,Secondary Schools,Girls
1001194,West Azad Nagar-G(co-ed)SS,English,28.6632924,77.2780303,General,6,10,1001,Zone-01,10,East,Government,Secondary Schools,Boys
1001196,Vishwas Nagar-SKV,English,28.66162547,77.2955829,Morning,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,Girls
