district	zone	SchoolID	SchName	SchAddress	PINCD	CRCSchAddress	Sch_Type	MuncipalityName	RuralUrban	Udise_Code	ESTDYEAR	CWSNSCH_YN	cwsn_sch_type	School_Deatils_STD	School_Deatils_Landline_Phone	School_Deatils_MobileNO	School_Incharge_Name	School_Incharge_Designation	School_Incharge_MobileNo	Respondent_Name	Respondent_Designation	Respondent_MobileNo	EMAIL	WEBSITE	School_Gender	School_Level	School_Nomenclature	LOWCLASS	HIGHCLASS	Shiftofschool	typeofschool	SCHMGT_Group	SCHMGT	minoritymanagedschool_YN	TYPEofminoritymanagedschool	MEDINSTR1	MEDINSTR2	MEDINSTR3	MEDINSTR4	MTONGUE_YN	LANG1	LANG2	LANG3	LANG4	LANG5	VISITSCRC	workdays_pre_pri	workdays_pri	WORKSDAYS_UPR	WORKSDAYS_SEC	workdays_hsec	sch_hrs_stu_pre_pri_h	sch_hrs_stu_pre_pri_m	sch_hrs_stu_pri_h	sch_hrs_stu_pri_m	sch_hrs_stu_upr_h	sch_hrs_stu_upr_m	sch_hrs_stu_sec_h	sch_hrs_stu_sec_m	sch_hrs_stu_hsec_h	sch_hrs_stu_hsec_m	sch_hrs_tch_pre_pri_h	sch_hrs_tch_pre_pri_m	sch_hrs_tch_pri_h	sch_hrs_tch_pri_m	sch_hrs_tch_upr_h	sch_hrs_tch_upr_m	sch_hrs_tch_sec_h	sch_hrs_tch_sec_m	sch_hrs_tch_hsec_h	sch_hrs_tch_hsec_m
East	1	1001001	Govt. Sarvodaya Bal Vidyalaya (Babu Ram)	"Bhola Nath Nagar, Shahadara, Delhi"	110032	"1001022:-Govt. Sarvodaya Kanya Vidyalaya, C-Block, Vivek Vihar, Delhi"	Government	East Delhi Municipal Corporation	Urban	7040123707	1915	No		11	22304026	9958996775	Om Prakash Anand 	Head Master/Principal	9958996775	Avanish Kumar Singh	Teacher	9868770167	1001001hos@gmail.com		Boys	Sr.Sec	Nur to XII	0	12	General	Co-Ed	A-State Government	Dte.of Education	No		English	Hindi	NA	NA	No	Hindi	English	Sanskrit	NA	NA	14	220	220	220	230	230	5	0	5	0	6	0	6	0	6	0	6	30	6	30	6	30	6	30	6	30
East	1	1001002	Govt. Sarvodaya Bal Vidyalaya	"Near Ram Mandir, Vivek Vihar, Delhi"	110095	"1001022:-Govt. Sarvodaya Kanya Vidyalaya, C-Block, Vivek Vihar, Delhi"	Government	East Delhi Municipal Corporation	Urban	7040123806	1975	No		11	22160252	9899155175	VINOD SHARMA	Asst. Head Master/VicePrincipal	9899155175	KRISHAN PAL 	Teacher	8130881369	1001002hos@gmail.com	https://sbvvivekvihar1001002.nic.in	Boys	Sr.Sec	Nur to XII	0	12	Evening	Co-Ed	A-State Government	Dte.of Education	No		English	Hindi	NA	NA	Yes	English	Hindi	Sanskrit	NA	NA	32	200	220	220	222	222	5	0	5	0	6	30	6	30	6	30	7	0	7	0	7	0	7	0	7	0
East	1	1001004	Govt. Sarvodaya Bal Vidyalaya	"Kanti Nagar, Delhi"	110051	"1051141:-MCD Primary School (Co-ed) , West Azad Nager, Delhi"	Government	East Delhi Municipal Corporation	Urban	7040123503	1981	No		11	22097781	8077808231	MADAN PAL SINGH	Head Master/Principal	8077808231	UMA SHANKAR SHARMA	Teacher	8506891130	1001004hos@gmail.com		Boys	Sr.Sec	I to XII	1	12	Evening	Co-Ed	A-State Government	Dte.of Education	No		Hindi	English	NA	NA	Yes	Hindi	English	Sanskrit	Urdu	NA	18		220	220	220	220			5	0	5	0	5	30	5	30			6	0	6	0	6	0	6	0
East	1	1001006	Govt. Sarvodaya Bal Vidyalaya	"A-Block, Surajmal Vihar, Delhi"	110092	"1001009:-Govt. Sarvodaya Kanya Vidyalaya, Anand Vihar (Near Railway Station), Delhi"	Government	East Delhi Municipal Corporation	Urban	7040122601	1997	No		11	22370894	9868539209	DIGPAL SINGH	Head Master/Principal	9868539209	DIGPAL SINGH	Head of the School/In-Charge	9868539209	1001006hos@gmail.com	http://www.edudel.nic.in	Boys	Sr.Sec	Nur to XII	0	12	Evening	Co-Ed	A-State Government	Dte.of Education	No		English	Hindi	NA	NA	Yes	English	Hindi	Sanskrit	NA	NA	9	220	220	225	225	225	5	0	5	0	5	30	5	30	5	30	5	30	5	30	6	10	6	10	6	10
East	1	1001008	Govt. Sarvodaya Bal Vidyalaya No.1	"Bhola Nath Nagar, Delhi"	110032	"1001022:-Govt. Sarvodaya Kanya Vidyalaya, C-Block, Vivek Vihar, Delhi"	Government	East Delhi Municipal Corporation	Urban	7040123706	1989	No		11	22308974	9873112402	Ashutosh Kumar Agarwal	Asst. Head Master/VicePrincipal	9873112402	Khushal Singh	Teacher	9811127853	1001008hos@gmail.com	http://www.edudel.nic.in	Boys	Sr.Sec	Nur to X	0	10	Evening	Boy	A-State Government	Dte.of Education	No		English	Hindi	NA	NA	Yes	English	Hindi	Sanskrit	NA	NA	10	220	220	220	220		4	30	4	30	5	30	5	30			6	0	6	0	6	0	6	0		
East	1	1001009	Govt. Sarvodaya Kanya Vidyalaya	"Anand Vihar (Near Railway Station), Delhi"	110092	"1001009:-Govt. Sarvodaya Kanya Vidyalaya, Anand Vihar (Near Railway Station), Delhi"	Government	East Delhi Municipal Corporation	Urban	7040122502	1989	No		11	22142448	8076188327	SMT ALKA GOGIA	Head Master/Principal	8076188327	SMT KAMNA	Teacher	9873711887	gsvanandvihar@yahoo.in	https://www.edudel.nic.in	Girls	Sr.Sec	Nur to XII	0	12	Morning	Co-Ed	A-State Government	Dte.of Education	No		English	Hindi	NA	NA	Yes	English	Hindi	Sanskrit	Punjabi	NA	8	200	200	225	225	225	5	0	5	0	5	30	5	30	5	30	6	0	6	0	6	30	6	30	6	30
East	1	1001012	Govt. Boys Sec. School	"C-Block , Vivek Vihar, Delhi"	110095	"1051141:-MCD Primary School (Co-ed) , West Azad Nager, Delhi"	Government	East Delhi Municipal Corporation	Urban	7040123804	1976	No		11	22168796	8700792705	AJAY KUMAR  BHATI	Asst. Head Master/VicePrincipal	8700792705	Priyank Jain	Teacher	9818558405	1001012hos@gmail.com		Boys	Secondary	VI to X	6	10	General	Boy	A-State Government	Dte.of Education	No		Hindi	English	NA	NA	Yes	Hindi	English	Sanskrit	NA	NA	18			230	230						6	0	6	0							6	30	6	30		
East	1	1001018	Govt. Sarvodaya Kanya Vidyalaya No.1	"Bhola Nath Nagar, Shahadara, Delhi"	110032	"1001022:-Govt. Sarvodaya Kanya Vidyalaya, C-Block, Vivek Vihar, Delhi"	Government	East Delhi Municipal Corporation	Urban	7040123704	1952	No		11	22306175	9968309642	YOG RAJ SINGH	Head Master/Principal	9968309642	GEETA SULANIYA	Teacher	9555805508	1001018hos@gmail.com	http://www.edudel.nic.in	Girls	Sr.Sec	Nur to XII	0	12	Morning	Girls	A-State Government	Dte.of Education	No		English	Hindi	NA	NA	Yes	English	Hindi	Sanskrit	Punjabi	NA	15	220	220	220	223	223	5	0	5	0	5	30	5	45	5	45	6	0	6	0	6	0	6	0	6	0
East	1	1001022	Govt. Sarvodaya Kanya Vidyalaya	"C-Block, Vivek Vihar, Delhi"	110095	"1001022:-Govt. Sarvodaya Kanya Vidyalaya, C-Block, Vivek Vihar, Delhi"	Government	East Delhi Municipal Corporation	Urban	7040123805	1979	No		11	22163114	9958299253	MRS RENU SHARMA	Asst. Head Master/VicePrincipal	9958299253	MRS NEERU GUPTA	Teacher	9971835557	1001022hos@gmail.com	https://www.edudel.nic.in	Girls	Sr.Sec	Nur to XII	0	12	Morning	Co-Ed	A-State Government	Dte.of Education	No		English	Hindi	NA	NA	No	Hindi	English	Sanskrit	Punjabi	NA	5	210	210	220	220	220	5	10	5	10	5	30	5	30	5	50	6	0	6	0	6	0	6	0	6	0
East	1	1001023	Govt. Girls Sr. Sec. School No.3	"Bhola Nath Nagar, Shahadara, Delhi"	110032	"1001022:-Govt. Sarvodaya Kanya Vidyalaya, C-Block, Vivek Vihar, Delhi"	Government	East Delhi Municipal Corporation	Urban	7040123702	1984	No		11	22304702	9891942127	R.Ravi Shankar	Head Master/Principal	9891942127	R.Ravi Shankar	Head of the School/In-Charge	9999279371	1001023hos@gmail.com	 https://www.edudel.nic.in	Girls	Sr.Sec	VI to XII	6	12	Morning	Girls	A-State Government	Dte.of Education	No		Hindi	English	NA	NA	No	Hindi	English	Sanskrit	Punjabi	NA	5			220	220	220					6	0	6	0	6	0					7	0	7	0	7	0
