state_name,state_code,board,subject,content_name,mime_type,total_no_of_plays(App and Portal),total_play_time(App and Portal),grade,medium,category
Delhi,10,CBSE (Delhi),English,A letter to God,YouTube Content,1837,3.38,Class 10,English,ETB
Delhi,10,CBSE (Delhi),English,Fire and Ice,YouTube Content,900,2.22,Class 10,English,ETB
Delhi,10,CBSE (Delhi),English,A dust of Snow,YouTube Content,409,5.14,Class 10,English,ETB
Delhi,10,CBSE (Delhi),Mathematics,Real Numbers,YouTube Content,1991,2.49,Class 10,English,ETB
Delhi,10,CBSE (Delhi),Mathematics,Coordinate Geometry - Hook and Knowledge Capsule,Video,1240,3.14,Class 10,English,ETB
Delhi,10,CBSE (Delhi),Mathematics,DoE Worksheets,Document,1076,1.99,Class 10,English,ETB
Delhi,10,CBSE (Delhi),Mathematics,Polynomials,YouTube Content,621,2.72,Class 10,English,ETB
Delhi,10,CBSE (Delhi),Mathematics,Coordinate Geometry - Illustrative Examples,Video,329,1.87,Class 10,English,ETB
Delhi,10,CBSE (Delhi),Mathematics,Coordinate Geometry Misconceptions,Video,187,1.58,Class 10,English,ETB
Delhi,10,CBSE (Delhi),Science,DoE Worksheets,Document,1247,1.13,Class 10,English,ETB
Delhi,10,CBSE (Delhi),Social Studies,DoE Worksheets,Document,3174,1.01,Class 10,English,ETB
Delhi,10,CBSE (Delhi),Social Studies,DoE Worksheets,Document,2011,0.75,Class 10,English,ETB
Delhi,10,CBSE (Delhi),Social Studies,DoE Worksheets,Document,822,0.81,Class 10,English,ETB
Delhi,10,CBSE (Delhi),Social Studies,Power sharing,YouTube Content,792,1.67,Class 10,English,ETB
Delhi,10,CBSE (Delhi),Social Studies,Federalism,YouTube Content,370,8.36,Class 10,English,ETB
Delhi,10,CBSE (Delhi),English,20 aug English Class X,Document,594,0.56,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Mathematics,DoE Worksheets,Document,672,0.97,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Mathematics,DoE Worksheets,Document,369,0.95,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,DoE Worksheets,Document,1147,1.15,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,3. Metals and Non-Metals,YouTube Content,463,1.56,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,DoE Worksheets,Document,432,0.76,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,6. Life Processes,YouTube Content,323,1.43,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,1. Chemical Reactions and Equations,YouTube Content,158,2.53,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,12. Electricity,YouTube Content,152,2,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,1. Chemical Reactions and Equations,YouTube Content,140,2.41,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,14. Sources of Energy,YouTube Content,138,2.74,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,12. Electricity,YouTube Content,136,2.15,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,10. Light Reflection and Refraction,YouTube Content,128,2.37,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,6. Life Processes,YouTube Content,118,2.26,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,13. Magnetic Effects of Electric Current,YouTube Content,117,3.48,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,1. Chemical Reactions and Equations,YouTube Content,116,1.57,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,10. Light Reflection and Refraction,YouTube Content,109,1.69,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,1. Chemical Reactions and Equations,YouTube Content,106,2.05,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,11. Human Eye and Colourful World,YouTube Content,104,3.13,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,1. Chemical Reactions and Equations,YouTube Content,101,1.33,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,6. Life Processes,YouTube Content,101,1.6,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,9. Heredity and Evolution,YouTube Content,100,2.23,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,13. Magnetic Effects of Electric Current,YouTube Content,100,1.15,Class 10,Hindi,ETB
Delhi,10,CBSE (Delhi),Science,6. Life Processes,YouTube Content,99,2.66,Class 10,Hindi,ETB
