state_name,state_code,district_name,district_code,number_of_schools,number_of_teachers,students_surveyed,learning_outcome_code,performance,subject,grade,learning_outcome,latitude,longitude
Delhi,10,South,743,50,193,691,M707,36.22473539,Math,Grade 8,Adds/subtracts algebraic expressions,28.5436,77.2706
Delhi,10,South East,744,62,247,785,M707,37.0717619,Math,Grade 8,Adds/subtracts algebraic expressions,28.563,77.2611
Delhi,10,New Delhi,79,55,216,728,M707,39.57711772,Math,Grade 8,Adds/subtracts algebraic expressions,28.5669,77.1295
Delhi,10,South West A,84,67,253,859,M707,35.60276415,Math,Grade 8,Adds/subtracts algebraic expressions,28.5929,77.0346
Delhi,10,South West B,745,51,204,720,M707,37.10275063,Math,Grade 8,Adds/subtracts algebraic expressions,28.6122,76.9865
Delhi,10,East,740,62,239,860,M707,39.33650963,Math,Grade 8,Adds/subtracts algebraic expressions,28.6146,77.2959
Delhi,10,West B,746,56,219,705,M707,36.89529576,Math,Grade 8,Adds/subtracts algebraic expressions,28.6196,77.0881
Delhi,10,West A,85,57,213,776,M707,33.44186904,Math,Grade 8,Adds/subtracts algebraic expressions,28.6246,77.2987
Delhi,10,North,80,62,248,804,M707,36.98345592,Math,Grade 8,Adds/subtracts algebraic expressions,28.6859,77.2148
Delhi,10,Central,77,62,245,836,M707,33.79969363,Math,Grade 8,Adds/subtracts algebraic expressions,28.6859,77.2148
Delhi,10,North East,741,53,196,659,M707,29.25551698,Math,Grade 8,Adds/subtracts algebraic expressions,28.7133,77.257
Delhi,10,North West A,82,57,219,746,M707,33.06254113,Math,Grade 8,Adds/subtracts algebraic expressions,28.7186,77.0685
Delhi,10,North West B,742,57,219,750,M707,39.96514553,Math,Grade 8,Adds/subtracts algebraic expressions,28.7373,77.091
Delhi,10,South,743,30,80,721,M305,46.85,Math,Grade 3,Analyses and applies an appropriate number operation in the situation/ context,28.5436,77.2706
Delhi,10,South East,744,34,98,780,M305,37.17,Math,Grade 3,Analyses and applies an appropriate number operation in the situation/ context,28.563,77.2611
Delhi,10,New Delhi,79,33,96,841,M305,42.13,Math,Grade 3,Analyses and applies an appropriate number operation in the situation/ context,28.5669,77.1295
Delhi,10,South West A,84,40,108,996,M305,40.5,Math,Grade 3,Analyses and applies an appropriate number operation in the situation/ context,28.5929,77.0346
Delhi,10,South West B,745,30,83,817,M305,40.49,Math,Grade 3,Analyses and applies an appropriate number operation in the situation/ context,28.6122,76.9865
Delhi,10,East,740,36,98,900,M305,41.53,Math,Grade 3,Analyses and applies an appropriate number operation in the situation/ context,28.6146,77.2959
Delhi,10,West B,746,28,84,733,M305,42.49,Math,Grade 3,Analyses and applies an appropriate number operation in the situation/ context,28.6196,77.0881
Delhi,10,West A,85,31,86,740,M305,38.52,Math,Grade 3,Analyses and applies an appropriate number operation in the situation/ context,28.6246,77.2987
Delhi,10,North,80,32,89,747,M305,45.39,Math,Grade 3,Analyses and applies an appropriate number operation in the situation/ context,28.6859,77.2148
Delhi,10,Central,77,31,76,637,M305,38.18,Math,Grade 3,Analyses and applies an appropriate number operation in the situation/ context,28.6859,77.2148
Delhi,10,North East,741,28,65,623,M305,37.48,Math,Grade 3,Analyses and applies an appropriate number operation in the situation/ context,28.7133,77.257
Delhi,10,North West A,82,29,75,654,M305,35.23,Math,Grade 3,Analyses and applies an appropriate number operation in the situation/ context,28.7186,77.0685
Delhi,10,North West B,742,29,82,809,M305,36.3,Math,Grade 3,Analyses and applies an appropriate number operation in the situation/ context,28.7373,77.091
Delhi,10,South,743,57,274,649,SST1004,43.7779408,Sst,Grade 10,Analyses and evaluates information.,28.5436,77.2706
Delhi,10,South East,744,70,349,767,SST1004,36.76401169,Sst,Grade 10,Analyses and evaluates information.,28.563,77.2611
Delhi,10,New Delhi,79,57,275,658,SST1004,49.28062715,Sst,Grade 10,Analyses and evaluates information.,28.5669,77.1295
Delhi,10,South West A,84,72,349,791,SST1004,47.0205466,Sst,Grade 10,Analyses and evaluates information.,28.5929,77.0346
Delhi,10,South West B,745,62,308,718,SST1004,41.66909261,Sst,Grade 10,Analyses and evaluates information.,28.6122,76.9865
Delhi,10,East,740,67,329,794,SST1004,42.52007637,Sst,Grade 10,Analyses and evaluates information.,28.6146,77.2959
Delhi,10,West B,746,66,322,721,SST1004,44.00751388,Sst,Grade 10,Analyses and evaluates information.,28.6196,77.0881
Delhi,10,West A,85,67,329,757,SST1004,36.4698252,Sst,Grade 10,Analyses and evaluates information.,28.6246,77.2987
Delhi,10,North,80,76,371,840,SST1004,41.75948797,Sst,Grade 10,Analyses and evaluates information.,28.6859,77.2148
Delhi,10,Central,77,71,358,803,SST1004,44.87685107,Sst,Grade 10,Analyses and evaluates information.,28.6859,77.2148
Delhi,10,North East,741,60,276,643,SST1004,33.83790264,Sst,Grade 10,Analyses and evaluates information.,28.7133,77.257
Delhi,10,North West A,82,66,320,723,SST1004,36.76365731,Sst,Grade 10,Analyses and evaluates information.,28.7186,77.0685
Delhi,10,North West B,742,66,323,760,SST1004,40.86513239,Sst,Grade 10,Analyses and evaluates information.,28.7373,77.091
Delhi,10,South,743,57,274,649,SCI1005,31.20300324,Sci,Grade 10,"Analyses and interprets data, graphs, and figures",28.5436,77.2706
Delhi,10,South East,744,70,349,767,SCI1005,27.33945757,Sci,Grade 10,"Analyses and interprets data, graphs, and figures",28.563,77.2611
Delhi,10,New Delhi,79,57,275,658,SCI1005,28.52423963,Sci,Grade 10,"Analyses and interprets data, graphs, and figures",28.5669,77.1295
Delhi,10,South West A,84,72,349,791,SCI1005,29.74726385,Sci,Grade 10,"Analyses and interprets data, graphs, and figures",28.5929,77.0346
Delhi,10,South West B,745,62,308,718,SCI1005,29.41976939,Sci,Grade 10,"Analyses and interprets data, graphs, and figures",28.6122,76.9865
Delhi,10,East,740,67,329,794,SCI1005,29.34874949,Sci,Grade 10,"Analyses and interprets data, graphs, and figures",28.6146,77.2959
Delhi,10,West B,746,66,322,721,SCI1005,27.0483854,Sci,Grade 10,"Analyses and interprets data, graphs, and figures",28.6196,77.0881
Delhi,10,West A,85,67,329,757,SCI1005,31.21726033,Sci,Grade 10,"Analyses and interprets data, graphs, and figures",28.6246,77.2987
Delhi,10,North,80,76,371,840,SCI1005,29.55257727,Sci,Grade 10,"Analyses and interprets data, graphs, and figures",28.6859,77.2148
Delhi,10,Central,77,71,358,803,SCI1005,28.96263409,Sci,Grade 10,"Analyses and interprets data, graphs, and figures",28.6859,77.2148
Delhi,10,North East,741,60,276,643,SCI1005,32.03323264,Sci,Grade 10,"Analyses and interprets data, graphs, and figures",28.7133,77.257
Delhi,10,North West A,82,66,320,723,SCI1005,30.26064878,Sci,Grade 10,"Analyses and interprets data, graphs, and figures",28.7186,77.0685
Delhi,10,North West B,742,66,323,760,SCI1005,30.7004933,Sci,Grade 10,"Analyses and interprets data, graphs, and figures",28.7373,77.091
Delhi,10,South,743,50,193,691,SST816,29.58157721,Sst,Grade 8,Analyses the decline of pre-existing urban centers and handicraft industries and the development of new urban centers and industries in India during the colonial period,28.5436,77.2706
Delhi,10,South East,744,62,247,785,SST816,31.18466915,Sst,Grade 8,Analyses the decline of pre-existing urban centers and handicraft industries and the development of new urban centers and industries in India during the colonial period,28.563,77.2611
Delhi,10,New Delhi,79,55,216,728,SST816,33.63244639,Sst,Grade 8,Analyses the decline of pre-existing urban centers and handicraft industries and the development of new urban centers and industries in India during the colonial period,28.5669,77.1295
Delhi,10,South West A,84,67,253,859,SST816,33.82661078,Sst,Grade 8,Analyses the decline of pre-existing urban centers and handicraft industries and the development of new urban centers and industries in India during the colonial period,28.5929,77.0346
Delhi,10,South West B,745,51,204,720,SST816,29.00396454,Sst,Grade 8,Analyses the decline of pre-existing urban centers and handicraft industries and the development of new urban centers and industries in India during the colonial period,28.6122,76.9865
Delhi,10,East,740,62,239,860,SST816,29.30673528,Sst,Grade 8,Analyses the decline of pre-existing urban centers and handicraft industries and the development of new urban centers and industries in India during the colonial period,28.6146,77.2959
Delhi,10,West B,746,56,219,705,SST816,26.51797235,Sst,Grade 8,Analyses the decline of pre-existing urban centers and handicraft industries and the development of new urban centers and industries in India during the colonial period,28.6196,77.0881
Delhi,10,West A,85,57,213,776,SST816,25.3193261,Sst,Grade 8,Analyses the decline of pre-existing urban centers and handicraft industries and the development of new urban centers and industries in India during the colonial period,28.6246,77.2987
Delhi,10,North,80,62,248,804,SST816,27.32576786,Sst,Grade 8,Analyses the decline of pre-existing urban centers and handicraft industries and the development of new urban centers and industries in India during the colonial period,28.6859,77.2148
Delhi,10,Central,77,62,245,836,SST816,28.15790233,Sst,Grade 8,Analyses the decline of pre-existing urban centers and handicraft industries and the development of new urban centers and industries in India during the colonial period,28.6859,77.2148
Delhi,10,North East,741,53,196,659,SST816,24.34142297,Sst,Grade 8,Analyses the decline of pre-existing urban centers and handicraft industries and the development of new urban centers and industries in India during the colonial period,28.7133,77.257
Delhi,10,North West A,82,57,219,746,SST816,29.1713913,Sst,Grade 8,Analyses the decline of pre-existing urban centers and handicraft industries and the development of new urban centers and industries in India during the colonial period,28.7186,77.0685
Delhi,10,North West B,742,57,219,750,SST816,34.66219762,Sst,Grade 8,Analyses the decline of pre-existing urban centers and handicraft industries and the development of new urban centers and industries in India during the colonial period,28.7373,77.091
Delhi,10,South,743,50,193,691,SST818,38.50786822,Sst,Grade 8,"Analyses the issues related to caste, women, widow remarriage, child marriage, social reforms and the laws and policies of colonial administration towards these issues",28.5436,77.2706
Delhi,10,South East,744,62,247,785,SST818,41.61793861,Sst,Grade 8,"Analyses the issues related to caste, women, widow remarriage, child marriage, social reforms and the laws and policies of colonial administration towards these issues",28.563,77.2611
Delhi,10,New Delhi,79,55,216,728,SST818,39.49266103,Sst,Grade 8,"Analyses the issues related to caste, women, widow remarriage, child marriage, social reforms and the laws and policies of colonial administration towards these issues",28.5669,77.1295
Delhi,10,South West A,84,67,253,859,SST818,40.38026924,Sst,Grade 8,"Analyses the issues related to caste, women, widow remarriage, child marriage, social reforms and the laws and policies of colonial administration towards these issues",28.5929,77.0346
