textbook_id,textbook_name,medium,grade,subject,day_of_created_on,qr_coverage,qr_codes_linked_to_content,total_qr_codes
do_3134941661652828161289,Understanding Of ICT in Education,English,Class 9;Others;Class 10;CPD;Class 1;Class 11;Class 2;Class 12;Class 3;Class 4;Class 5;Class 6;Class 7;Class 8,ICT;Information And Communication Technology;Education,14/03/2022,100,39,39
do_31304270483372441611703,A Pact With The Sun (Class 6),English,Class 6,English,14/06/2020,0,0,0
do_31304275485156147212950,An Alien Hand (Class 7),English,Class 7,English,14/06/2020,0,0,0
do_31304319994698137614928,Beehive (Class 9),English,Class 9,English,15/06/2020,0,0,0
do_3130349792046694401952,Class 10 Mathematics,English,Class 10,Mathematics,03/06/2020,0,0,0
do_31304327401913548816088,Class 10 Science,English,Class 10,Science,15/06/2020,0,0,0
do_3130349523764920321526,Class 6 Mathematics,English,Class 6,Mathematics,03/06/2020,0,0,0
do_3130349587322716161867,Class 7 Mathematics,English,Class 7,Mathematics,03/06/2020,0,0,0
do_31304275639695769612146,Class 7 Science,English,Class 7,Science,14/06/2020,0,0,0
do_3130349808557506561338,Class 8 Mathematics,English,Class 8,Mathematics,03/06/2020,0,0,0
do_31304287434395648014291,Class 8 Science,English,Class 8,Science,14/06/2020,0,0,0
do_31304319916077875215386,Class 9 Economics,English,Class 9,Economics,15/06/2020,0,0,0
do_3130349745145856001492,Class 9 Mathematics,English,Class 9,Mathematics,03/06/2020,0,0,0
do_31304321071601254413158,Class 9 Science (Delhi SCERT),English,Class 9,Science,15/06/2020,0,0,0
do_31304320371701350412929,Contemporary India  I (Class 9),English,Class 9,Geography,15/06/2020,0,0,0
do_31304325140698726413444,Contemporary India II (Class 10),English,Class 10,Geography,15/06/2020,0,0,0
do_3128968873113681921201,Coordinate Geometry,Hindi,Class 9,Mathematics,21/11/2019,100,1,1
do_31313957268771635212534,Delhi_ A Pact With The Sun (by NCERT),English,Class 6,English,29/10/2020,100,11,11
do_31310352226590720011773,Delhi_ Accountancy - I - Not for Profit Organisation & Parternship Accounts (by NCERT),English,Class 12,Accountancy,08/09/2020,100,5,5
do_31310352159870976011211,Delhi_ Accountancy Financial Accounting - I (by NCERT),English,Class 11,Accountancy,08/09/2020,100,8,8
do_31313957309806182411968,Delhi_ Accountancy Financial Accounting - II (by NCERT),English,Class 11,Accountancy,29/10/2020,0,0,0
do_31313957341921280013248,Delhi_ Accountancy Part - II (by NCERT),English,Class 12,Accountancy,29/10/2020,0,0,0
do_31313957272947097613964,Delhi_ An Alien Hand (by NCERT),English,Class 7,English,29/10/2020,100,11,11
do_31310352038809600011749,Delhi_ Beehive English Text Book (by NCERT),English,Class 9,English,08/09/2020,100,11,11
do_31310352178212864011769,Delhi_ Biology (by NCERT),English,Class 12,Biology,08/09/2020,100,16,16
do_31310352106962944011616,Delhi_ Biology (by NCERT),English,Class 11,Biology,08/09/2020,100,22,22
do_3131035215555543041972,Delhi_ Business Studies (by NCERT),English,Class 11,Business Studies,08/09/2020,100,11,11
do_3131395733786542081909,Delhi_ Business Studies -II (by NCERT),English,Class 12,Business Studies,29/10/2020,0,0,0
do_31310352222534860811715,Delhi_ Business Studies Part -1 (by NCERT),English,Class 12,Business Studies,08/09/2020,100,8,8
do_31310352182200729611691,Delhi_ Chemistry Part 1 (by NCERT),English,Class 12,Chemistry,08/09/2020,100,9,9
do_31313957321972940813776,Delhi_ Chemistry Part II (by NCERT),English,Class 12,Chemistry,29/10/2020,0,0,0
do_31310352110985216011698,Delhi_ Chemistry Part-1 (by NCERT),English,Class 11,Chemistry,08/09/2020,100,7,7
do_31313957297703321612400,Delhi_ Chemistry Part-2 (by NCERT),English,Class 11,Chemistry,29/10/2020,0,0,0
do_3131395735014686721913,Delhi_ Computerised Accounting System (by NCERT),English,Class 12,Accountancy,29/10/2020,0,0,0
do_31310352053252915211602,Delhi_ Contemporary India 1 (by NCERT),English,Class 9,Geography,08/09/2020,100,6,6
do_31310352084240793611199,Delhi_ Contemporary India Part-II (by NCERT),English,Class 10,Geography,08/09/2020,100,7,7
do_31310352210571264011321,Delhi_ Contemporary World Politics (by NCERT),English,Class 12,Political Science,08/09/2020,100,9,9
do_31310352092566323211259,Delhi_ Democratic Politics Part-II (by NCERT),English,Class 10,Political Science,08/09/2020,100,8,8
do_31310352057452953611694,Delhi_ Economics (by NCERT),English,Class 9,Economics,08/09/2020,100,4,4
do_31310352069753241611757,Delhi_ First Flight - English Textbook (by NCERT),English,Class 10,English,08/09/2020,100,11,11
do_31310352171994316811620,Delhi_ Flamingo - English Core (by NCERT),English,Class 12,English,08/09/2020,100,14,14
do_31313957291319296012396,Delhi_ Footprints without Feet - English Supplementary Reader (by NCERT),English,Class 10,English,29/10/2020,0,0,0
do_31310352194386329611622,Delhi_ Fundamentals of Human Geography (by NCERT),English,Class 12,Geography,08/09/2020,100,10,10
do_31310352123066777611307,Delhi_ Fundamentals of Physical Geography (by NCERT),English,Class 11,Geography,08/09/2020,100,16,16
do_31310351985727078411665,Delhi_ Honeycomb (by NCERT),English,Class 7,English,08/09/2020,100,10,10
do_31310352011993907211743,Delhi_ Honeydew English (by NCERT),English,Class 8,English,08/09/2020,100,10,10
do_31310351959140761611185,Delhi_ Honeysuckle (by NCERT),English,Class 6,English,08/09/2020,100,10,10
do_31310352100674764811261,Delhi_ Hornbill - English Core (by NCERT),English,Class 11,English,08/09/2020,100,14,14
do_31310352080134963211608,Delhi_ India & Contemporary World II (by NCERT),English,Class 10,History,08/09/2020,100,5,5
do_31310352049142169611251,Delhi_ India And The Contemporary World I (by NCERT),English,Class 9,History,08/09/2020,100,5,5
do_3131035219838402561980,Delhi_ India People and Economy (by NCERT),English,Class 12,Geography,08/09/2020,100,12,12
do_31310352127089049611203,Delhi_ India Physical Environment (by NCERT),English,Class 11,Geography,08/09/2020,100,7,7
do_31310352139323801611207,Delhi_ Indian Constitution at Work (by NCERT),English,Class 11,Political Science,08/09/2020,100,10,10
do_3131035213525975041970,Delhi_ Indian Economic Development (by NCERT),English,Class 11,Economics,08/09/2020,100,10,10
do_31310352218488012811323,Delhi_ Indian Society (by NCERT),English,Class 12,Sociology,08/09/2020,100,7,7
